"","adults_01","Image_name","site","date","month","yday","hour","adult","nestling","sband","bband","day_night","eggs"
"40",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0195.JPG",3,2016-07-20 07:22:16,7,202,7,1,0,0,0,"day",NA
"41",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0378.JPG",3,2016-07-21 03:33:42,7,203,3,1,0,0,0,"night",NA
"42",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1228 (2).JPG",3,2016-07-27 01:44:54,7,209,1,1,2,0,0,"night",NA
"43",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1612 (2).JPG",3,2016-08-12 02:09:28,8,225,2,1,1,0,0,"night",NA
"44",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0158.JPG",3,2016-07-20 01:30:18,7,202,1,1,1,0,0,"night",NA
"45",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0315.JPG",3,2016-07-21 01:13:54,7,203,1,1,1,0,0,"night",NA
"46",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1804.JPG",3,2016-07-28 01:17:00,7,210,1,1,1,0,0,"night",NA
"47",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0364.JPG",3,2016-07-21 02:56:08,7,203,2,1,1,0,0,"night",NA
"48",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0376.JPG",3,2016-07-21 03:33:36,7,203,3,1,0,0,0,"night",NA
"49",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_5566 (3).JPG",4,2016-08-12 11:14:12,8,225,11,0,1,0,0,"day",NA
"50",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_5424 (3).JPG",4,2016-08-12 10:46:43,8,225,10,0,1,0,0,"day",NA
"51",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_4814 (3).JPG",4,2016-08-12 17:34:12,8,225,17,0,2,0,0,"day",NA
"52",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_2663 (3).JPG",4,2016-08-08 10:15:37,8,221,10,0,1,0,0,"day",NA
"53",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1923 (5).JPG",4,2016-08-04 11:16:02,8,217,11,0,2,0,0,"day",NA
"54",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1300 (6).JPG",4,2016-08-02 09:52:25,8,215,9,0,1,0,0,"day",NA
"55",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1481 (6).JPG",4,2016-08-07 09:32:36,8,220,9,0,2,0,0,"day",NA
"56",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_7354 (3).JPG",4,2016-08-13 13:12:10,8,226,13,0,2,0,0,"day",NA
"57",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1590 (4).JPG",4,2016-07-28 13:14:42,7,210,13,1,2,0,0,"day",NA
"58",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_1583.JPG",4,2016-06-22 18:32:04,6,174,18,1,0,0,0,"day",NA
"59",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_3891 (2).JPG",4,2016-07-02 08:46:34,7,184,8,1,0,0,0,"day",NA
"60",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_0142 (7).JPG",4,2016-07-30 15:37:29,7,212,15,1,0,0,0,"day",NA
"61",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_0205 (2).JPG",4,2016-06-09 11:23:18,6,161,11,1,0,0,0,"day",NA
"62",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_0065 (4).JPG",4,2016-07-08 09:56:04,7,190,9,1,0,0,0,"day",NA
"63",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1493 (5).JPG",4,2016-08-03 11:15:54,8,216,11,1,2,1,0,"day",NA
"64",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_6584 (2).JPG",4,2016-07-04 08:48:16,7,186,8,1,0,0,0,"day",NA
"65",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_6508 (4).JPG",8,2016-07-31 09:55:10,7,213,9,0,4,0,0,"day",NA
"66",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_8161 (5).JPG",8,2016-07-29 14:42:04,7,211,14,0,2,0,0,"day",NA
"67",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_8601 (5).JPG",8,2016-08-06 12:33:49,8,219,12,0,3,0,0,"day",NA
"68",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_1254 (7).JPG",8,2016-07-30 14:17:22,7,212,14,0,1,0,0,"day",NA
"69",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_0086 (6).JPG",8,2016-07-31 10:12:37,7,213,10,0,3,0,0,"day",NA
"70",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_7967 (4).JPG",8,2016-07-31 15:07:06,7,213,15,0,3,0,0,"day",NA
"71",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_0289 (4).JPG",8,2016-07-18 12:18:28,7,200,12,0,3,0,0,"day",NA
"72",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_4557 (5).JPG",8,2016-07-29 15:02:47,7,211,15,0,2,0,0,"day",NA
"73",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_2815 (5).JPG",8,2016-07-20 14:05:00,7,202,14,1,1,0,0,"day",NA
"74",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_3117 (2).JPG",8,2016-07-09 16:45:50,7,191,16,1,0,0,0,"day",NA
"75",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_1675 (3).JPG",8,2016-07-05 12:23:40,7,187,12,1,1,0,0,"day",NA
"76",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_3448 (4).JPG",8,2016-07-19 17:29:06,7,201,17,1,2,0,0,"day",NA
"77",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/2016-07-16 01-13-03 AM M 03_03.JPG",8,2016-07-16 07:13:03,7,198,7,1,1,0,0,"day",NA
"78",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_4441 (3).JPG",8,2016-07-07 16:50:25,7,189,16,1,0,0,0,"day",NA
"79",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_3624 (3).JPG",8,2016-07-06 14:53:26,7,188,14,1,0,0,0,"day",NA
"80",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_3240 (3).JPG",8,2016-07-06 10:25:16,7,188,10,1,0,0,0,"day",NA
"81",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 05-02-54 PM M 02_03.JPG",12,2016-07-07 11:02:54,7,189,11,0,0,0,0,"day",NA
"82",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/Post-hatch/2016-07-10 01-35-03 PM M 01_03.JPG",12,2016-07-10 07:35:03,7,192,7,0,1,0,0,"day",NA
"83",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_6116.JPG",12,2016-06-19 11:08:09,6,171,11,0,0,0,0,"day",NA
"84",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_4508.JPG",12,2016-06-17 14:22:59,6,169,14,0,0,0,0,"day",NA
"85",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 02-53-43 PM M 03_03.JPG",12,2016-07-07 08:53:43,7,189,8,0,0,0,0,"day",NA
"86",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_7079.JPG",12,2016-06-20 10:01:29,6,172,10,0,0,0,0,"day",NA
"87",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/Post-hatch/2016-07-09 08-07-02 PM M 03_03.JPG",12,2016-07-09 14:07:02,7,191,14,0,2,0,0,"day",NA
"88",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 01-45-40 PM M 03_03.JPG",12,2016-07-07 07:45:40,7,189,7,0,0,0,0,"day",NA
"89",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_3944.JPG",12,2016-06-17 09:39:55,6,169,9,1,1,0,0,"day",NA
"90",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/Post-hatch/2016-07-09 11-37-12 PM M 02_03.JPG",12,2016-07-09 17:37:12,7,191,17,1,0,0,0,"day",NA
"91",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 05-39-38 AM M 01_03.JPG",12,2016-07-07 11:39:38,7,189,11,1,0,0,0,"day",NA
"92",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_2763.JPG",12,2016-06-15 15:49:25,6,167,15,1,0,0,0,"day",NA
"93",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-08 08-25-21 AM M 02_03.JPG",12,2016-07-08 14:25:21,7,190,14,1,0,0,0,"day",NA
"94",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_1282.JPG",12,2016-06-23 14:27:32,6,175,14,1,0,0,0,"day",NA
"95",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 01-14-57 AM M 03_03.JPG",12,2016-07-07 07:14:57,7,189,7,1,0,0,0,"day",NA
"96",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/Post-hatch/2016-07-10 06-04-28 AM M 03_03.JPG",12,2016-07-10 12:04:28,7,192,12,1,0,0,0,"day",NA
"97",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/2016-08-11 11-02-30 AM M 02_03.JPG",19,2016-08-11 17:02:30,8,224,17,0,2,0,0,"day",NA
"98",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_7851 (3).JPG",19,2016-07-25 14:32:02,7,207,14,0,1,0,0,"day",NA
"99",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_0887 (7).JPG",19,2016-07-28 11:47:27,7,210,11,0,2,0,0,"day",NA
"100",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_4987 (3).JPG",19,2016-07-25 18:54:44,7,207,18,0,5,0,0,"day",NA
"101",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_3066 (3).JPG",19,2016-07-26 10:06:02,7,208,10,0,3,0,0,"day",NA
"102",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_4998 (3).JPG",19,2016-07-25 18:57:13,7,207,18,0,2,0,0,"day",NA
"103",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_0651 (7).JPG",19,2016-07-28 09:12:07,7,210,9,0,2,0,0,"day",NA
"104",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_0928 (7).JPG",19,2016-07-28 12:05:01,7,210,12,0,3,0,0,"day",NA
"105",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_2582 (4).JPG",19,2016-07-25 09:29:35,7,207,9,1,1,0,0,"day",NA
"106",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/2016-07-09 05-00-32 PM M 02_03.JPG",19,2016-07-09 11:00:32,7,191,11,1,0,0,0,"day",NA
"107",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_3588 (3).JPG",19,2016-07-26 12:11:19,7,208,12,1,1,0,0,"day",NA
"108",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_7900.JPG",19,2016-07-06 16:32:36,7,188,16,1,0,0,0,"day",NA
"109",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/2016-07-13 11-27-41 AM M 03_03.JPG",19,2016-07-13 17:27:41,7,195,17,1,0,0,0,"day",NA
"110",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_9807 (4).JPG",19,2016-07-24 09:04:45,7,206,9,1,2,0,0,"day",NA
"111",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/2016-07-17 01-16-34 PM M 01_03.JPG",19,2016-07-17 07:16:34,7,199,7,1,0,0,0,"day",NA
"112",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/2016-07-14 10-46-05 AM M 03_03.JPG",19,2016-07-14 16:46:05,7,196,16,1,0,0,0,"day",NA
"113",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-08 16-20-14.JPG",23,2016-08-08 12:20:14,8,221,12,0,3,0,0,"day",NA
"114",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-07-23 11-20-26.JPG",23,2016-07-23 07:20:26,7,205,7,0,1,0,0,"day",NA
"115",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-08 13-34-16.JPG",23,2016-08-08 09:34:16,8,221,9,0,1,0,0,"day",NA
"116",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-07 19-21-56.JPG",23,2016-08-07 15:21:56,8,220,15,0,2,0,0,"day",NA
"117",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_2338 (2).JPG",23,2016-07-29 14:04:56,7,211,14,0,3,0,0,"day",NA
"118",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_1378 (3).JPG",23,2016-08-07 07:33:34,8,220,7,0,2,0,0,"day",NA
"119",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-10 18-48-24.JPG",23,2016-08-10 14:48:24,8,223,14,0,2,0,0,"day",NA
"120",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-07-22 13-09-54.JPG",23,2016-07-22 09:09:54,7,204,9,0,2,0,0,"day",NA
"121",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_2322.JPG",23,2016-07-27 02:34:42,7,209,2,0,1,0,0,"night",NA
"122",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_4411.JPG",23,2016-07-28 01:16:22,7,210,1,0,2,0,0,"night",NA
"123",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-12 07-39-04.JPG",23,2016-08-12 03:39:04,8,225,3,0,1,0,0,"night",NA
"124",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-11 06-03-08.JPG",23,2016-08-11 02:03:08,8,224,2,0,1,0,0,"night",NA
"125",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-10 07-01-18.JPG",23,2016-08-10 03:01:18,8,223,3,0,1,0,0,"night",NA
"126",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-08 05-03-38.JPG",23,2016-08-08 01:03:38,8,221,1,0,1,0,0,"night",NA
"127",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-08 07-03-02.JPG",23,2016-08-08 03:03:02,8,221,3,0,1,0,0,"night",NA
"128",0,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_2336.JPG",23,2016-07-27 02:36:46,7,209,2,0,1,0,0,"night",NA
"129",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-02 13-20-22.JPG",23,2016-07-02 09:20:22,7,184,9,1,0,0,0,"day",NA
"130",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-15 21-48-42_001.JPG",23,2016-06-15 17:48:42,6,167,17,1,0,0,0,"day",NA
"131",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_0664.JPG",23,2016-07-24 09:52:50,7,206,9,1,0,0,0,"day",NA
"132",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-07 15-49-38.JPG",23,2016-07-07 11:49:38,7,189,11,1,1,0,0,"day",NA
"133",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_0934.JPG",23,2016-07-25 09:22:06,7,207,9,1,0,0,0,"day",NA
"134",1,"/media/robert/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-15 14-47-26_001.JPG",23,2016-06-15 10:47:26,6,167,10,1,0,0,0,"day",NA
